"Timestamp"," Formatted Timestamp","Network In - Data - Delta (Bytes)#Device","Network In - Data (Bytes)#Device","Network Out - WiFi - Delta (Bytes)#Device","Network Out - WiFi (Bytes)#Device","CPU User (%)#Device","Memory Free (KB)#Device","CPU Kernel (%)#Device","Memory Cache (KB)#Device","Memory Used (KB)#Device","Network In - WiFi - Delta (Bytes)#Device","Network In - WiFi (Bytes)#Device","Network Out - Data - Delta (Bytes)#Device","Network Out - Data (Bytes)#Device","CPU Total (%)#Device"
"1473723171948","2016-09-12:23-32-51","0","6568247","0","215257839","16","106024","24","315068","2655872","0","3225214061","0","15317015","48"
"1473723172999","2016-09-12:23-32-52","0","6568247","0","215257839","10","126096","7","333652","2635800","56","3225214117","0","15317015","21"
"1473723174039","2016-09-12:23-32-54","0","6568247","1100","215258939","3","142296","4","302712","2619600","491","3225214552","0","15317015","10"
"1473723175088","2016-09-12:23-32-55","0","6568247","4239","215262078","2","140792","2","302564","2621104","12025","3225226086","0","15317015","6"
"1473723176168","2016-09-12:23-32-56","0","6568247","5017","215262856","5","182716","3","295680","2579180","21455","3225235516","0","15317015","10"
"1473723177219","2016-09-12:23-32-57","0","6568247","21574","215279413","9","188372","4","294536","2573524","207798","3225421859","0","15317015","16"
"1473723178289","2016-09-12:23-32-58","0","6568247","36639","215294478","12","182236","4","297208","2579660","407417","3225621478","0","15317015","19"
"1473723179358","2016-09-12:23-32-59","0","6568247","50111","215307950","11","165380","6","310572","2596516","597718","3225811779","0","15317015","21"
"1473723180448","2016-09-12:23-33-00","0","6568247","67385","215325224","25","86100","12","305272","2675796","807583","3226021644","0","15317015","40"
"1473723181498","2016-09-12:23-33-01","0","6568247","76126","215333965","10","159228","6","310664","2602668","892517","3226106578","0","15317015","18"
"1473723182548","2016-09-12:23-33-02","0","6568247","86345","215344184","18","130032","10","334652","2631864","933669","3226147730","0","15317015","33"
"1473723183599","2016-09-12:23-33-03","0","6568247","91006","215348845","14","115680","5","345412","2646216","978089","3226192150","0","15317015","22"
"1473723184669","2016-09-12:23-33-04","0","6568247","91060","215348899","5","122268","1","345444","2639628","978811","3226192872","0","15317015","8"
"1473723185739","2016-09-12:23-33-05","0","6568247","91060","215348899","14","108084","7","359992","2653812","978811","3226192872","0","15317015","23"
"1473723186789","2016-09-12:23-33-06","0","6568247","99248","215357087","12","104612","5","362260","2657284","1005424","3226219485","0","15317015","18"
"1473723187859","2016-09-12:23-33-07","0","6568247","118567","215376406","13","137008","7","359616","2624888","1334089","3226548150","0","15317015","23"
"1473723188929","2016-09-12:23-33-08","0","6568247","118633","215376472","4","156704","3","359484","2605192","1334954","3226549015","0","15317015","8"
"1473723189999","2016-09-12:23-33-09","0","6568247","118633","215376472","3","157016","2","359476","2604880","1334954","3226549015","0","15317015","6"
"1473723191056","2016-09-12:23-33-11","0","6568247","118633","215376472","2","155712","2","360928","2606184","1335077","3226549138","0","15317015","6"
"1473723192115","2016-09-12:23-33-12","0","6568247","118765","215376604","3","155588","3","360920","2606308","1335538","3226549599","0","15317015","7"
"1473723193186","2016-09-12:23-33-13","0","6568247","118897","215376736","5","157120","3","360932","2604776","1335618","3226549679","0","15317015","9"
"1473723194255","2016-09-12:23-33-14","0","6568247","118897","215376736","2","156864","1","360936","2605032","1335618","3226549679","0","15317015","5"
"1473723195325","2016-09-12:23-33-15","0","6568247","118897","215376736","3","156864","3","360940","2605032","1335618","3226549679","0","15317015","7"
"1473723196395","2016-09-12:23-33-16","0","6568247","120325","215378164","12","159984","7","359052","2601912","1335722","3226549783","0","15317015","20"
"1473723197455","2016-09-12:23-33-17","0","6568247","122790","215380629","5","158756","2","358704","2603140","1351202","3226565263","0","15317015","9"
"1473723198525","2016-09-12:23-33-18","0","6568247","130154","215387993","11","160872","6","348108","2601024","1497935","3226711996","0","15317015","19"
"1473723199605","2016-09-12:23-33-19","0","6568247","135354","215393193","19","160584","7","341788","2601312","1556586","3226770647","0","15317015","29"
"1473723200675","2016-09-12:23-33-20","0","6568247","140410","215398249","25","166856","8","341236","2595040","1571027","3226785088","0","15317015","36"
"1473723201745","2016-09-12:23-33-21","0","6568247","140410","215398249","1","166496","0","341516","2595400","1571159","3226785220","0","15317015","3"
"1473723202825","2016-09-12:23-33-22","0","6568247","140410","215398249","1","166380","1","341516","2595516","1571215","3226785276","0","15317015","4"
"1473723203895","2016-09-12:23-33-23","0","6568247","140410","215398249","0","166272","1","341528","2595624","1571215","3226785276","0","15317015","2"
"1473723204965","2016-09-12:23-33-24","0","6568247","140410","215398249","0","166024","0","341528","2595872","1571215","3226785276","0","15317015","1"
"1473723206035","2016-09-12:23-33-26","0","6568247","140554","215398393","0","165944","0","341524","2595952","1571409","3226785470","0","15317015","1"
"1473723207094","2016-09-12:23-33-27","0","6568247","141945","215399784","15","157436","9","347660","2604460","1571409","3226785470","0","15317015","27"
"1473723208166","2016-09-12:23-33-28","0","6568247","142011","215399850","1","151108","3","352484","2610788","1571501","3226785562","0","15317015","8"
